PROV2015;Tombaks;;;;;;;;;x
PROV2017;Erzjamas;;;;;;;;;x
PROV2022;Pilvor-Jaha;x
PROV2023;Jorsa;x
PROV2024;Lajato;x
PROV2025;Labaheito;x
PROV2027;Varkuta;x
PROV2029;Man-Pupyg-Njor;x
PROV2030;Lopyng;x
PROV2031;Tagym;x
PROV2032;Emtyr;x
PROV2033;Kassum;x
PROV2034;Atlym;x
PROV2045;Pulnowat-Wosh;x
PROV589;Kugu Kakshan;;;;;;;;;x
PROV591;Jov;;;;;;;;;x
PROV584;Obran Osh;;;;;;;;;x
PROV588;Vytla;;;;;;;;;x
PROV1718;Chupchy;;;;;;;;;;;;;x
c_kola;Kuelnegk;x
PROV2026;Jend-Jaha;x
d_khanty;Owsen;x
c_shapkina;Pilvor-Jaha;x
c_laya;Lajato;x
c_sozva;Jorsa;x
c_kolvavis;Labaheito;x
c_varkut;Varkuta;x
c_tambov;Tombaks;;;;;;;;;x
c_arzamas;Erzjamas;;;;;;;;;x
d_maris;Turnaran;;;;;;;;;x
d_vytla;Vytla;;;;;;;;;x
c_zyriane;Jakshan;;;;;;;;;x
c_udmurts;Chupchy;;;;;;;;;x
c_zaozerye;Shusht;x
c_tikhvine;Pakshajoki;x
c_uglich;Shyi-Ola;x
c_yaroslavl;Shopsha;x
c_rostov;Merja;x
c_suzdal;Susudal;x
c_kostroma;Koshtra;x
c_yuryev;Koloksha;x
c_pereyaslavl_zalessky;Voksa;x
c_orekhovo_zouievo;Kerzhi;x
c_vologda;Valgeda;x
c_galich_mersky;Turnaran;x
c_veliky_ustug;Ju;x
c_velsk;Vaga;x
c_yezhuga;Karhunmäki;x
c_kanin;Sojanaja;x
c_mezen;Mes;x
c_samoyeds;Chosha;x
c_soyma;Jend-Jaha;x
c_zavarot;Suhaja Neruta;x
c_kolguyev;Holngow;x
c_ural;Iz;x
c_thisageta;Chusva;x
c_sedyu;Sedju;x
c_yolva;Syktyv;x
c_izhma;Izva;x
c_tsilma;Chilim;x
c_ugra;Sula;x
c_hlynov;Kuiva;x
c_syrj;Kalmova;x
c_khopyor;Savala;x
c_burtasy;Burtas;x
c_sosva;Tagym;x
c_mansia;Polum;x
c_khantia;Kont;x
c_tavda;Taut;x
c_tui;Salym;x
c_bolshoy;Jogan;x
c_sibir;Sogom;x
c_vasyugan;At-Jogan;x
c_yamalia;Tungpoh-Wosh;x
c_tara;Taren;x
c_komi;Pilva;x
d_murom;Muroma;x
d_ryazan;Meshchera;x
d_ural;Iz;x
d_votjaki;Lokchim;x
d_zyriane;Ezhva;x
d_ustug;Lokchim;x
d_yaroslavl;Valgeda;x
d_kola;Kuelnegk;x
d_kargopol;Karhunpuoli;x
d_komi;Pechora;x
d_hlynov;Karhunmaki;x
d_samoyed;Sojanaja;x
d_pechora;Koshma;x
d_zavarot;Jend-Jaha;x
d_yugra;Polum;x
d_vasyugan;Numen;x
d_om;Skewbald Horde;x
k_perm;Great Perm;x
estlamic;Estlamic;x
estlam;Estlam;x
